iter	Logloss
0	0.6624015692
1	0.6362126726
2	0.6123812685
3	0.5903112452
4	0.5699264672
5	0.5509059544
6	0.5317830548
7	0.5102923005
8	0.4913425989
9	0.4755199711
10	0.4632046255
11	0.450676624
12	0.4353085015
13	0.4228387509
14	0.4121664464
15	0.4019134014
16	0.3926844547
17	0.3839465983
18	0.3732452224
19	0.3652006559
20	0.3586220885
21	0.3488564108
22	0.3399845667
23	0.3334116302
24	0.3271704676
25	0.3196015889
26	0.3129471866
27	0.3066227048
28	0.3017353752
29	0.2953476209
30	0.2896086828
31	0.284151626
32	0.2786539614
33	0.2736454855
34	0.2698849907
35	0.2648436149
36	0.2607656239
37	0.2574614164
38	0.2538692294
39	0.2511162756
40	0.248188813
41	0.244078056
42	0.2402188142
43	0.2369669687
44	0.2332021965
45	0.2297226833
46	0.2266888003
47	0.2230654422
48	0.2199618902
49	0.21689984
50	0.2139008827
51	0.2105388203
52	0.207619143
53	0.2048428803
54	0.2025154318
55	0.2001141791
56	0.1978068332
57	0.1954610065
58	0.1934255219
59	0.1913591864
60	0.1894427539
61	0.187170389
62	0.1852790697
63	0.1833539825
64	0.1812894301
65	0.1797110666
66	0.1770947837
67	0.1750193784
68	0.1735023287
69	0.1712378892
70	0.1693160985
71	0.1673457595
72	0.165343462
73	0.1635517572
74	0.16217185
75	0.1600070245
76	0.1583620163
77	0.1565924217
78	0.1550667673
79	0.1537635161
80	0.1522994914
81	0.1507305933
82	0.1492493053
83	0.1479975533
84	0.1467534067
85	0.1452061716
86	0.1437402501
87	0.1421635086
88	0.1404322401
89	0.1386090946
90	0.1374988635
91	0.1364631651
92	0.135077461
93	0.1337772031
94	0.1323444651
95	0.1311718719
96	0.1300428677
97	0.1287874064
98	0.1275048388
99	0.1263474239
100	0.1248572423
101	0.124071698
102	0.1230390584
103	0.1220007935
104	0.1213874304
105	0.1198504584
106	0.1186778653
107	0.1177249773
108	0.1162132875
109	0.1152425127
110	0.1140910102
111	0.1128079257
112	0.1117050031
113	0.1107359035
114	0.1096980007
115	0.1089766657
116	0.1082993371
117	0.1067548745
118	0.105720053
