Model,Threshold,Recall,Precision,F1,F2,ROC-AUC,Avg-Precision
LightGBM_DART,0.01,0.8939393939393939,0.14047619047619048,0.24279835390946503,0.43128654970760233,0.8696922569395353,0.3248545305721976
LogisticRegression,0.01,0.9090909090909091,0.10676156583629894,0.1910828025477707,0.36319612590799033,0.8493802723973798,0.31067399911713434
RandomForest,0.01,0.9545454545454546,0.07007786429365963,0.1305699481865285,0.2708512467755804,0.8596305198171449,0.26110224611309235
ExtraTrees,0.01,0.9696969696969697,0.06786850477200425,0.12685827552031714,0.2651201325600663,0.8640251661246996,0.27816522714381825
LightGBM,0.01,0.9545454545454546,0.06225296442687747,0.11688311688311688,0.2468652037617555,0.8603138696451292,0.3355876783759104
CatBoost,0.09142142142142141,1.0,0.0603290676416819,0.11379310344827587,0.24300441826215022,0.8609029643244263,0.32972239574864676
HistGBM,0.01,0.9696969696969697,0.055077452667814115,0.10423452768729642,0.2244039270687237,0.8193717894339978,0.24139925647100008
XGBoost,0.1277177177177177,1.0,0.04943820224719101,0.09421841541755889,0.20637898686679174,0.7840025448890144,0.24492084698966302
