Feature,LightGBM,XGBoost,CatBoost,Average
X29_X7_product,0.4236453200926982,0.19941432913118745,0.0590318114992011,0.22736382024102889
X25,0.5369458126756291,0.0966684000296779,0.046634408694475354,0.22674954046659412
X36_X31_ratio,0.059113300478050905,0.5397597312098902,0.060917933776982666,0.2199303218216412
X31_X29_ratio,0.46305418707806545,0.11883955692837488,0.07320086926841829,0.21836487109161953
stage4_range,0.14778325119512728,0.06712471879242604,0.4378275735063241,0.21757851449795915
X2,0.29556650239025456,0.05378846297539255,0.2918230712722117,0.21372601221261958
X35_X34_ratio,0.3448275861219636,0.14010430949722005,0.1522612775921909,0.21239772440379154
X13_X30_diff,0.0,0.541024120323813,0.08196218531398689,0.20766210187926662
X36_X10_diff,0.04433497535853818,0.46843854572855526,0.10561756461081191,0.20613036189930178
X5,0.4532019703317236,0.08644531202229029,0.0577112985226033,0.1991195269588724
X36_X31_diff,0.3990147782268436,0.15856866592202068,0.0393864878623988,0.1989899773370877
PCA_5,0.4433497535853818,0.14699438550971583,0.006063138020526181,0.19880242570520792
stage1_stage4_mean_diff,0.07389162559756364,0.2674738155295651,0.23334694022623012,0.19157079378445296
feat_std,0.07881773397073455,0.06785532491424556,0.42563744262611186,0.190770167170364
X26,0.29064039401708364,0.11308964636202391,0.16759560234299503,0.1904418809073675
X33,0.10837438420976,0.07774159214930305,0.38078938186653116,0.18896845274186477
PCA_10,0.3694581279878182,0.1353626716031559,0.05611055457409792,0.18697711805502404
PCA_6,0.37438423636098905,0.10320516035148397,0.08164309849592316,0.18641083173613207
X41_X4_diff,0.15270935956829818,0.06779310872979159,0.33771050808922615,0.1860709921291053
X10_X31_diff,0.13300492607561454,0.08893250483282673,0.33169383690069054,0.18454375593637726
X36_X10_ratio,0.029556650239025452,0.40463817228637544,0.11182819264680018,0.18200767172406704
X4_X15_ratio,0.20197044330000724,0.0925431574886786,0.24695048078753687,0.18048802719207424
X41_X7_product,0.05418719210488,0.29686227384841396,0.18997151644017315,0.18034032746448903
X32,0.3103448275097673,0.16880631228620674,0.060473746331722374,0.17987496204256548
stage3_stage5_mean_ratio,0.14778325119512728,0.02905463082266205,0.3618723323221428,0.17957007144664403
X32_sq,0.004926108373170909,0.4536542316510015,0.07460532823865533,0.17772855608760926
X37_X41_diff,0.3842364531073309,0.13002013824551809,0.008293328829325722,0.17418330672739157
X13_X34_diff,0.06896551722439272,0.4222414447563241,0.030531989711450564,0.1739129838973891
PCA_9,0.3448275861219636,0.07437363499944707,0.10075055164648894,0.17331725758929986
X27,0.24630541865854544,0.09333068671161003,0.17547537287793336,0.17170382608269627
X34_X10_diff,0.02955665023902546,0.10662581202696202,0.3620341733969631,0.1660722118876502
X41_X4_ratio,0.01477832511951273,0.16169141179263927,0.3208389123869254,0.16576954976635913
X13_X10_ratio,0.2216748767926909,0.1320554286500647,0.13120782947357285,0.1616460449721095
X13_X30_ratio,0.21182266004634911,0.24756681333633404,0.021820964827601153,0.1604034794034281
X30_X29_diff,0.05418719210488,0.3843983979906465,0.03863678324104132,0.1590741244455226
X35_sqrt,0.0,0.3620904372370709,0.11347667147472698,0.1585223695705993
X35,0.03448275861219636,0.12842315719893366,0.30905683360192915,0.15732091647101973
X30_X31_ratio,0.2758620688975709,0.06730331623738645,0.12812850338580395,0.15709796284025376
X48,0.22660098516586183,0.1668967149110646,0.07514739507824068,0.15621503171838905
X23,0.34975369449513455,0.1102318008730055,0.00603810441787667,0.15534119992867224
X13_X30_product,0.029556650239025452,0.34241638143319003,0.09274097689902201,0.15490466952374582
stage1_stage4_mean_ratio,0.06896551722439272,0.2731616409440703,0.12249353946876913,0.15487356587907739
X9,0.26108374377805815,0.10597486210706047,0.09003613561939688,0.1523649138348385
X35_log,0.0,0.0,0.45295203992275707,0.15098401330758568
X34,0.03940886698536727,0.33614795581537615,0.0773593640783239,0.15097206229302243
stage3_stage4_mean_ratio,0.1133004925829309,0.3078818266572398,0.030999238442272255,0.15072718589414766
