Feature,Importance
X35_X13_ratio,0.6
stage4_stage5_mean_diff,0.4
X40,0.4
X32_sqrt,0.4
feat_min,0.4
X29_X37_diff,0.4
X36_sqrt,0.4
X10_X30_product,0.4
X35_X34_product,0.4
X33_X41_product,0.4
stage1_min,0.4
X13_log,0.4
X35_X10_ratio,0.2
X37_X33_product,0.2
X10_sqrt,0.2
z_score_above2,0.2
X36_log,0.2
X30_sqrt,0.2
X31_X29_product,0.2
X37_X33_ratio,0.2
X29_X37_product,0.2
X32_X29_product,0.2
X32_sq,0.2
X10_X31_product,0.2
X31_X33_ratio,0.2
X37_X7_ratio,0.2
X31_X32_product,0.2
stage4_min,0.2
X31_log,0.2
z_score_above3,0.0
gmm_prob_4,0.0
X10_rank,0.0
X34_rank,0.0
X36_rank,0.0
X13_rank,0.0
X35_rank,0.0
kmeans_5_label,0.0
gmm_prob_3,0.0
gmm_prob_2,0.0
gmm_prob_1,0.0
gmm_prob_0,0.0
gmm_label,0.0
kmeans_8_label,0.0
kmeans_3_label,0.0
X34_X31_ratio,0.0
X31_sq,0.0
X31_sqrt,0.0
X34_X30_ratio,0.0
X34_X10_ratio,0.0
X13_X30_diff,0.0
X48_missing,0.0
X42_missing,0.0
X27_missing,0.0
X26_missing,0.0
X25_missing,0.0
X24_missing,0.0
X23_missing,0.0
X21_missing,0.0
X16_missing,0.0
X15_missing,0.0
X10_missing,0.0
X8_missing,0.0
X34_X31_product,0.0
X34_X32_product,0.0
X34_X32_ratio,0.0
X34_log,0.0
X30_sq,0.0
X30_log,0.0
X10_sq,0.0
X10_log,0.0
X34_sq,0.0
X34_sqrt,0.0
X36_sq,0.0
X30_X31_product,0.0
X13_sq,0.0
X13_sqrt,0.0
X35_sq,0.0
X35_sqrt,0.0
X35_log,0.0
X37_X4_ratio,0.0
X30_rank,0.0
