iter	Accuracy	Logloss
0	0.8795782464	0.6467371234
1	0.8795782464	0.5980143978
2	0.8856825749	0.5539334548
3	0.9034406215	0.5113418804
4	0.9067702553	0.475406939
5	0.9139844617	0.4500166563
6	0.9117647059	0.4231331047
7	0.9139844617	0.4005714845
8	0.9256381798	0.3812864989
9	0.9250832408	0.3638642308
10	0.9322974473	0.3327545442
11	0.93618202	0.3177475801
12	0.9411764706	0.302676648
13	0.9428412875	0.2907415404
14	0.9445061043	0.2737357357
15	0.9456159822	0.2585361752
16	0.9472807991	0.2472053987
17	0.9478357381	0.2376784657
18	0.948390677	0.2288786982
19	0.948945616	0.222473091
20	0.948945616	0.217272533
21	0.9495005549	0.208682757
22	0.9500554939	0.2006169508
23	0.9517203108	0.1943426984
24	0.9539400666	0.1879837562
25	0.9561598224	0.1827692089
26	0.9578246393	0.1787967979
27	0.9600443951	0.1724773593
28	0.9605993341	0.1674310868
29	0.9600443951	0.1635470838
30	0.961154273	0.1593388562
31	0.9650388457	0.154470775
32	0.9667036626	0.1506905442
33	0.9683684795	0.1479162284
34	0.9683684795	0.1441585104
35	0.9689234184	0.1403686859
36	0.9711431743	0.1360318243
37	0.973917869	0.1324465483
38	0.974472808	0.1293593384
39	0.9755826859	0.1271681547
40	0.9766925638	0.1245115113
41	0.9766925638	0.1226057387
42	0.9778024417	0.1195754543
43	0.9783573807	0.1174612366
44	0.9789123196	0.1150225739
45	0.9822419534	0.1121461734
46	0.9822419534	0.1096050233
47	0.9844617092	0.1079083153
48	0.9844617092	0.1045087751
49	0.9855715871	0.1023339024
50	0.9861265261	0.1005993143
51	0.9855715871	0.09949176084
52	0.9883462819	0.09802103425
53	0.9883462819	0.09627613517
54	0.987791343	0.09547492461
55	0.9883462819	0.09356732886
56	0.9883462819	0.09237144704
57	0.9894561598	0.09081359504
58	0.9894561598	0.08896850589
59	0.9900110988	0.08728939137
60	0.9905660377	0.08585327986
61	0.9916759156	0.08464227019
62	0.9922308546	0.0833012216
63	0.9927857936	0.08041297126
64	0.9933407325	0.0790853277
65	0.9950055494	0.07794434817
66	0.9944506104	0.07656287424
67	0.9961154273	0.07518065634
68	0.9966703663	0.07341548389
69	0.9966703663	0.07199206745
70	0.9961154273	0.07072882462
71	0.9966703663	0.06948363138
72	0.9966703663	0.06811860809
73	0.9966703663	0.06653550719
74	0.9966703663	0.06572498126
75	0.9966703663	0.06497101905
76	0.9966703663	0.06385788573
77	0.9972253052	0.06262313851
78	0.9972253052	0.06193859255
79	0.9972253052	0.06072728279
80	0.9972253052	0.05949745173
81	0.9972253052	0.05857337462
82	0.9972253052	0.05768495527
83	0.9972253052	0.05708441951
84	0.9972253052	0.05630978303
85	0.9972253052	0.05547085398
86	0.9972253052	0.05491817893
87	0.9972253052	0.05432652252
88	0.9977802442	0.05374711859
89	0.9977802442	0.05319115369
90	0.9977802442	0.05252638269
91	0.9983351831	0.05163045483
92	0.9983351831	0.05088531725
93	0.9983351831	0.05042764613
94	0.9983351831	0.04993050131
95	0.9983351831	0.04921817541
96	0.9983351831	0.04829032002
97	0.9983351831	0.0477739027
98	0.9983351831	0.04714100867
99	0.9983351831	0.04661949618
100	0.9983351831	0.04623727953
101	0.9983351831	0.04579429857
102	0.9983351831	0.04527718381
103	0.9983351831	0.04443796628
104	0.9983351831	0.04389946161
105	0.9983351831	0.04338232095
106	0.9988901221	0.04278597083
107	0.9983351831	0.04234297389
108	0.9983351831	0.04137215208
109	0.9983351831	0.04085344691
110	0.9988901221	0.04036464432
111	0.9988901221	0.03970049616
112	0.9988901221	0.03927819168
113	0.9988901221	0.03887339408
114	0.9988901221	0.03854555569
115	0.9988901221	0.03813038995
116	0.9988901221	0.03773924128
117	0.9988901221	0.03726141641
118	0.9988901221	0.03680922169
119	0.9988901221	0.03628719733
120	0.9988901221	0.03567037233
121	0.9988901221	0.03516725136
122	0.9988901221	0.03461259757
123	0.9988901221	0.03413868358
124	0.9988901221	0.03351208818
125	0.9988901221	0.03314855819
126	0.9988901221	0.03280864876
127	0.999445061	0.03250509297
128	0.999445061	0.03208828849
129	0.999445061	0.03179628741
130	0.999445061	0.03117351663
131	0.999445061	0.03084044972
132	0.999445061	0.03063700311
133	0.999445061	0.03015082707
134	0.999445061	0.03005031764
135	0.999445061	0.02975181524
136	0.999445061	0.02940303195
137	0.999445061	0.02912290425
138	0.999445061	0.02858853425
139	0.999445061	0.02811586109
140	0.999445061	0.02770790303
141	0.999445061	0.02746854384
142	0.999445061	0.02688513944
143	0.999445061	0.02642887007
144	0.999445061	0.02616583764
145	0.999445061	0.02592488627
146	0.999445061	0.02570020052
147	0.999445061	0.02543966642
148	0.999445061	0.02502924912
149	0.999445061	0.02490209
150	0.999445061	0.02475280622
151	0.999445061	0.02455014592
152	0.999445061	0.02416836042
153	0.999445061	0.02381858934
154	1	0.02344279808
155	1	0.02323509685
156	1	0.02291443821
157	1	0.02263681236
158	1	0.02241135526
159	1	0.02216772269
160	1	0.02185071961
161	1	0.02160578395
162	1	0.0212180548
163	1	0.02099379412
164	1	0.02068719631
165	1	0.02036548978
166	1	0.0201231926
167	1	0.01994197693
168	1	0.0196059489
169	1	0.01933998532
170	1	0.0190901367
171	1	0.01887352151
172	1	0.01866135508
173	1	0.01851075467
174	1	0.01834001537
175	1	0.01807862457
176	1	0.01789000021
177	1	0.01766183993
178	1	0.01747603874
179	1	0.01725369658
180	1	0.01709168582
181	1	0.01696669621
182	1	0.01671749903
183	1	0.01652377311
184	1	0.0163311975
185	1	0.01607422516
186	1	0.01589468659
187	1	0.01574701828
188	1	0.01552524003
189	1	0.01534002425
190	1	0.0151505612
191	1	0.01501170281
192	1	0.01487750578
193	1	0.014707532
194	1	0.01459542965
195	1	0.01445595913
196	1	0.01428851165
197	1	0.01411570194
198	1	0.01392704306
199	1	0.01374103275
200	1	0.01360367697
201	1	0.01353973034
202	1	0.01343585609
203	1	0.01328792519
204	1	0.01311502432
205	1	0.01292503414
206	1	0.01276921512
207	1	0.01265755744
208	1	0.01255560176
209	1	0.01245087192
210	1	0.01225025376
211	1	0.01205498612
212	1	0.01196881608
213	1	0.01175439824
214	1	0.01159221008
215	1	0.01149193853
216	1	0.01143661821
217	1	0.01137838139
218	1	0.01126243476
219	1	0.01115083152
220	1	0.0110270324
221	1	0.01092046676
222	1	0.01077774868
223	1	0.01066866268
224	1	0.01058887321
225	1	0.01048604566
226	1	0.01038939235
227	1	0.01029125341
228	1	0.01022295302
229	1	0.01012053525
230	1	0.01003889939
231	1	0.009955127848
232	1	0.009854350647
233	1	0.009729040849
234	1	0.009553013779
235	1	0.009493076819
236	1	0.009390422774
237	1	0.009319144765
238	1	0.00925255862
